FC;FR
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;85.85136
166.6374;82.77695
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
166.6374;76.62814
