FC;FR
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
201.0494;67.26567
