FC;FR
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.15716
186.7462;63.04707
186.7462;62.82688
186.7462;62.82688
186.7462;62.82688
186.7462;62.82688
186.7462;62.82688
